Año,Trimestre,Pareja,Hijo,Otros,Total Acompañantes dependientes
2018,T2,0,0,0,0
2018,T1,0,0,0,0
2017,T4,0,0,0,0
2017,T3,0,0,0,0
2017,T2,0,0,0,0
2017,T1,0,2,0,2
2016,T4,0,0,0,0
2016,T3,0,1,0,1
2016,T2,0,0,0,0
2016,T1,1,1,0,2
2015,T4,0,1,0,1
2015,T3,0,1,0,1
2015,T2,0,0,0,0
2015,T1,0,0,0,0
2014,T4,0,1,0,1
2014,T3,0,3,0,3
2014,T2,1,1,0,2
2014,T1,3,1,0,4
2013,T4,7,1,0,8
2013,T3,4,1,0,5
2013,T2,4,0,0,4
2013,T1,9,0,0,9
2012,T4,3,1,0,4
2012,T3,0,2,0,2
2012,T2,0,1,0,1
2012,T1,0,0,0,0
2011,T4,0,1,0,1
2011,T3,0,0,0,0
2011,T2,0,5,0,5
2011,T1,1,5,0,6
2010,T4,0,4,0,4
2010,T3,0,0,0,0
2010,T2,0,5,0,5
2010,T1,0,1,0,1
2009,T4,2,4,0,6
2009,T3,0,3,0,3
2009,T2,0,5,0,5
2009,T1,0,1,0,1
2008,T4,2,3,0,5
2008,T3,0,5,0,5
2008,T2,0,4,0,4
2008,T1,3,3,0,6
2007,T4,0,3,0,3
2007,T3,1,3,0,4
2007,T2,0,7,0,7
2007,T1,1,4,0,5
2006,T4,1,3,0,4
2006,T3,4,5,0,9
2006,T2,1,7,0,8
2006,T1,1,4,0,5
2005,T4,0,9,0,9
2005,T3,2,4,0,6
2005,T2,1,1,0,2
2005,T1,3,6,0,9