Año,Trimestre,"PBS - Tier 1 Total
(Solicitante principal)","PBS - Tier 1 Total
(Dependientes)","Otros empleos que no requieren autorización  - 
Alto valor
(Dependientes)","PBS - Tier 2 Total
(Solicitante principal)","PBS - Tier 2 Total
(Dependientes)","PBS - Tier 5 Total
(Solicitante principal)","PBS - Tier 5 Total
(Dependientes)","No PBS
Total
(Solicitante principal)","No PBS
Total
(Dependientes)","Otros
Total
(Solicitante principal)",Total visas de trabajo
2018,T2,0,0,,2,3,80,0,3,0,0,88
2018,T1,0,0,,1,0,21,0,0,0,0,22
2017,T4,0,0,,0,1,30,0,0,0,0,31
2017,T3,0,0,,2,3,92,0,0,0,0,97
2017,T2,0,0,,3,1,57,1,0,0,0,62
2017,T1,0,0,,1,0,67,0,0,0,0,68
2016,T4,0,0,,1,0,19,0,0,0,0,20
2016,T3,0,0,,2,2,13,0,0,0,0,17
2016,T2,0,0,,1,0,81,0,0,0,0,82
2016,T1,0,0,,3,2,32,0,0,0,0,37
2015,T4,0,0,,1,2,27,0,0,0,0,30
2015,T3,0,0,,1,0,42,0,0,0,0,43
2015,T2,0,0,,1,1,49,0,0,0,0,51
2015,T1,0,0,,4,4,33,0,0,0,0,41
2014,T4,0,0,,5,0,8,0,0,0,0,13
2014,T3,0,0,,5,4,51,0,0,0,0,60
2014,T2,0,0,,2,3,62,0,0,0,0,67
2014,T1,0,0,,3,0,4,0,0,0,0,7
2013,T4,0,0,,2,3,4,0,0,0,0,9
2013,T3,0,0,,4,4,4,0,0,0,0,12
2013,T2,0,0,,3,3,41,0,0,0,0,47
2013,T1,0,0,,2,1,76,0,0,0,0,79
2012,T4,0,0,,1,0,6,0,0,0,0,7
2012,T3,0,0,,2,0,17,0,0,0,0,19
2012,T2,0,0,,0,1,80,0,0,0,0,81
2012,T1,0,1,,1,0,85,0,0,0,0,87
2011,T4,0,0,,0,0,9,0,0,0,0,9
2011,T3,0,0,,2,0,53,0,1,0,0,56
2011,T2,0,0,,0,0,28,0,1,0,0,29
2011,T1,0,0,,0,0,46,0,1,0,0,47
2010,T4,0,0,,0,0,32,0,0,0,0,32
2010,T3,0,2,,2,1,55,0,0,0,0,60
2010,T2,0,0,,2,0,41,0,0,0,0,43
2010,T1,0,0,,3,1,157,0,2,0,0,163
2009,T4,0,0,,1,1,39,0,0,0,0,41
2009,T3,1,0,,0,1,56,0,0,0,0,58
2009,T2,0,0,,3,1,48,0,0,0,0,52
2009,T1,0,0,,3,0,31,0,1,0,0,35
2008,T4,0,0,,47,1,2,0,0,0,11,61
2008,T3,0,0,,25,4,0,,1,0,17,47
2008,T2,1,0,,110,1,1,,0,0,23,136
2008,T1,0,0,,63,5,0,,2,0,3,73
2007,T4,0,0,0,54,1,1,,1,0,2,59
2007,T3,0,0,0,40,3,0,,0,0,28,71
2007,T2,0,0,0,138,0,0,,0,0,62,200
2007,T1,0,0,0,68,0,0,,0,0,0,68
2006,T4,0,0,0,71,0,1,,1,0,5,78
2006,T3,0,0,0,136,2,0,,0,0,8,146
2006,T2,0,0,0,76,1,0,,2,0,0,79
2006,T1,0,0,0,38,3,0,,0,0,1,42
2005,T4,0,0,0,35,0,0,,0,0,1,36
2005,T3,0,0,0,123,0,0,,0,0,7,130
2005,T2,0,0,0,150,0,0,,0,0,2,152
2005,T1,0,0,0,66,2,0,,0,0,0,68